Products,Reactants,Spectators
'C(C)OC(C1=C(N=CC(=C1)F)OC1=CC=C(C=C1)SC)=O',C(C)OC(C1=C(N=CC(=C1)F)Cl)=O; C([O-])([O-])=O.[Cs+].[Cs+]; CSC1=CC=C(C=C1)O,[]
'OC1(CCC(CC1)NC(OC(C)(C)C)=O)C',[Cl-].C[Mg+]; O=C1CCC(CC1)NC(OC(C)(C)C)=O,[]
'C(C)SC=1C=C(OC2=C(C(=O)O)C=C(C=N2)F)C=CC1',O.[OH-].[Li+]; C(C)SC=1C=C(OC2=C(C(=O)OCC)C=C(C=N2)F)C=CC1,[]
'C(C1=CC=CC=C1)OC(=O)C@@H1CCC@@H(CC1)NC(=O)C=1C(=NC=CC1)OC1=CC=C(C=C1)SC',CSC1=CC=C(OC2=C(C(=O)O)C=CC=N2)C=C1; CCN(CC)CC; CS(=O)(=O)O.C(C1=CC=CC=C1)OC(=O)[C@@H]1CC[C@@H](CC1)N; Cl.CN(CCCN=C=NCC)C; ON1N=NC2=C1C=CC=C2,[]
'FC=1C=NC(=C(C(=O)NC@H2C@H(CCCC2)CO)C1)OC1=CC(=CC=C1)SC',FC=1C=NC(=C(C(=O)O)C1)OC1=CC(=CC=C1)SC; CCN(CC)CC; Cl.OC[C@@H]1[C@@H](CCCC1)N; Cl.CN(CCCN=C=NCC)C,[]
'C(C)OC(C1=C(N=CC(=C1)F)OC1=CC(=CC=C1)SC)=O',C(C)OC(C1=C(N=CC(=C1)F)Cl)=O; CSC=1C=C(C=CC1)O; C([O-])([O-])=O.[Cs+].[Cs+],[]
'C(C1=CC=CC=C1)OC(=O)C@@H1CCC@@H(CC1)NC(=O)C=1C(=NC=C(C1)F)OC1=CC(=CC=C1)SC',C(C1=CC=CC=C1)OC(=O)[C@@H]1CC[C@@H](CC1)NC(=O)C=1C(=NC=C(C1)F)Cl; CSC=1C=C(C=CC1)O; C([O-])([O-])=O.[Cs+].[Cs+],[]
'C(C1=CC=CC=C1)OC(=O)C@@H1CCC@@H(CC1)NC(=O)C=1C(=NC=C(C1)F)Cl',CS(=O)(=O)O.C(C1=CC=CC=C1)OC(=O)[C@@H]1CC[C@@H](CC1)N; CCN(CC)CC; FC=1C=NC(=C(C(=O)O)C1)Cl; Cl.CN(CCCN=C=NCC)C; ON1N=NC2=C1C=CC=C2,[]
"'N', 'C(C)SC=1C=C(OC2=C(C(=O)NC@@H3C@@H(CCCC3)O)C=C(C=N2)F)C=CC1'",C(C)SC=1C=C(OC2=C(C(=O)O)C=C(C=N2)F)C=CC1; CCN(CC)CC; Cl.CN(CCCN=C=NCC)C; ON1N=NC2=C1C=CC=C2; CN(C=O)C,[]
'FC1=C(C=C(C=C1)OC)SC',FC1=C(C=C(C=C1)OC)F; C[S-].[Na+]; C[S-].[Na+],[]
'FC=1C=NC(=C(C(=O)NC@@H2CCC@H(CC2)N2C(CCCC2)=O)C1)OC1=CC(=CC=C1)SC',ClCCCCC(=O)N[C@@H]1CC[C@H](CC1)NC(C1=C(N=CC(=C1)F)OC1=CC(=CC=C1)SC)=O,[]
'C(C)OC(NC@@H1CCC@@H(CC1)NC(=O)C=1C(=NC=C(C1)F)OC1=CC(=CC=C1)SC)=O',Cl.N[C@H]1CC[C@H](CC1)NC(C1=C(N=CC(=C1)F)OC1=CC(=CC=C1)SC)=O; CCN(CC)CC; C(C)OC(=O)Cl,[]
'C(C)(C)(C)OC(NC@@H1CCC@@H(CC1)NC(=O)C=1C(=NC=C(C1)F)OC1=CC(=CC=C1)SC)=O',C(C)(C)(C)OC(N[C@@H]1CC[C@@H](CC1)NC(=O)C=1C(=NC=C(C1)F)Cl)=O; CSC=1C=C(C=CC1)O; C([O-])([O-])=O.[Cs+].[Cs+],[]
'FC=1C=NC(=C(C(=O)NC@@H2CCC@@H(CC2)NC(CC(C)C)=O)C1)OC1=CC(=CC=C1)SC',Cl.N[C@H]1CC[C@H](CC1)NC(C1=C(N=CC(=C1)F)OC1=CC(=CC=C1)SC)=O; CCN(CC)CC; CC(CC(=O)O)C; Cl.CN(CCCN=C=NCC)C; ON1N=NC2=C1C=CC=C2,[]
'CSC=1C=C(C=CC1)O',COC1=CC(=CC=C1)SC; O,['Br']
'OC@H1C@H(CCCC1)NC(C1=C(N=CC=C1)OC1=CC(=CC=C1)SC)=O',Cl.CN(CCCN=C=NCC)C; CSC=1C=C(OC2=C(C(=O)O)C=CC=N2)C=CC1; ON1N=NC2=C1C=CC=C2; CCN(CC)CC; CN(C=O)C,[]
'FC=1C=NC(=C(C(=O)NC@@H2CCC@@H(CC2)NC(C(CO)(C)C)=O)C1)OC1=CC(=CC=C1)SC',Cl.N[C@@H]1CC[C@H](CC1)NC(C1=C(N=CC(=C1)F)OC1=CC(=CC=C1)SC)=O; CCN(CC)CC; CC(C(=O)O)(CO)C; Cl.CN(CCCN=C=NCC)C; ON1N=NC2=C1C=CC=C2,[]
'FC=1C=NC(=C(C(=O)NC@@H2CCC@@H(CC2)N2C(CCCC2)=O)C1)OC1=CC(=CC=C1)SC',ClC(CCC(=O)N[C@H]1CC[C@H](CC1)NC(C1=C(N=CC(=C1)F)OC1=CC(=CC=C1)SC)=O)C; [H-].[Na+],[]
'CC(C(=O)NC@H1CCC@H(CC1)NC(C1=C(N=CC(=C1)F)OC1=CC(=CC=C1)SC)=O)(C)C',Cl.N[C@H]1CC[C@H](CC1)NC(C1=C(N=CC(=C1)F)OC1=CC(=CC=C1)SC)=O; CCN(CC)CC; CC(C(=O)O)(C)C; Cl.CN(CCCN=C=NCC)C; ON1N=NC2=C1C=CC=C2,[]
