Products,Reactants,Spectators
'FC(C(C(=O)N)(C)C)(F)F',FC(C(C(=O)O)(C)C)(F)F; C(=O)(C=1NC=CN1)C=1NC=CN1; N; CCOCC,[]
'N1C@@H(CC1)C(=O)N',C(C1=CC=CC=C1)OC(=O)N1[C@@H](CC1)C(N)=O,[]
'OC@@H1CC@H(NC1)C(=O)N',C(C1=CC=CC=C1)OC(=O)[C@H]1NC[C@@H](C1)O; N,[]
'COCC@@12N(C@H(OC1=O)C(Cl)(Cl)Cl)CCC2',C(C)(C)[N-]C(C)C.[Li+]; ClC([C@H]1OC([C@H]2N1CCC2)=O)(Cl)Cl; COCCl; O,[]
'OCC@@1(NCCC1)C(=O)N',OC[C@@]12N([C@H](OC1=O)C(Cl)(Cl)Cl)CCC2; N; CO,[]
'Cl.FC(C(C(=N)N)(C)C)(F)F',FC(C(C#N)(C)C)(F)F; C[O-].[Na+]; [Na]; CC(O)=O; [Cl-].[NH4+],[]
'CC@H1C@H(NCC1)C(=O)N',C[C@H]1[C@H](N(CC1)[C@@H](C)C1=CC=CC=C1)C(=O)N,[]
'CN(C)CC@@12N(C@H(OC1=O)C(Cl)(Cl)Cl)CCC2',C(C)(C)[N-]C(C)C.[Li+]; ClC([C@H]1OC([C@H]2N1CCC2)=O)(Cl)Cl; [I-].C[N+](=C)C; O,[]
'N(=N+=N-)CC@H1C@H(N(CC1)C@@H(C)C1=CC=CC=C1)C(=O)N',[Cl-].[NH4+]; C; COC(=O)[C@H]1N(CC[C@H]1CN=[N+]=[N-])[C@@H](C)C1=CC=CC=C1; [Cl-].[NH4+],"['Cc1ccccc1', 'Cc1ccccc1', 'Cc1ccccc1', 'C[Al](C)C', 'Cc1ccccc1']"
'COCC@@1(NCCC1)C(=O)N',COC[C@@]12N([C@H](OC1=O)C(Cl)(Cl)Cl)CCC2; N,[]
'C(=O)C1C(C2=C(N=C(S2)NC(C)=O)CC1)=O',[Li+].C[Si](C)(C)[N-][Si](C)(C)C; O=C1CCCC=2N=C(SC21)NC(C)=O; C(=O)OC; Cl,[]
'BrC1=CC(=NC=C1OCOC)C',COCOC=1C=CC(=NC1)C; C(C)(C)(C)[Li]; BrC(C(Br)(Cl)Cl)(Cl)Cl; [Cl-].[NH4+],[]
'BrC1=C(C=NC(=C1)C)OCC=1N=C(SC1)NC(C)=O',BrC1=C(C=NC(=C1)C)O; [Na+].[H-]; C(C)(=O)NC=1SC=C(N1)CCl,[]
'COC(=O)C@H1N(CCC@H1CN=N+=N-)C@@H(C)C1=CC=CC=C1',[Na+].[N-]=[N+]=[N-]; COC(=O)[C@H]1N(CC[C@H]1CI)[C@@H](C)C1=CC=CC=C1,[]
'FC(C(C(=S)N)(C)C)(F)F',FC(C(C(=O)N)(C)C)(F)F; COc1ccc(cc1)P1(=S)SP(=S)(S1)c1ccc(OC)cc1,[]
'BrC1=C(C=NC(=C1)C)O',BrC1=CC(=NC=C1OCOC)C; Cl,[]
'C(C)(=O)NCC@H1C@H(N(CC1)C@@H(C)C1=CC=CC=C1)C(=O)N',C(C)(=S)O; N(=[N+]=[N-])C[C@H]1[C@H](N(CC1)[C@@H](C)C1=CC=CC=C1)C(=O)N,[]
'FC=1C=C(CN(C)CC@@2(NCCC2)C(=O)N)C=CC1',FC=1C=C(CN(C)C[C@@]23N([C@H](OC2=O)C(Cl)(Cl)Cl)CCC3)C=CC1; N; CO,[]
'CC1=NC=C2OCC3=C(C2=C1)SC(=N3)NC(=O)N3C=NC=C3',CC1=NC=C2OCC3=C(C2=C1)SC(=N3)NC(C)=O; C(C)(C)(C)C1=NC=2C3=C(CCC2C=N1)N=C(S3)NC(=O)N3C=NC=C3,[]
'O=C1CCCC=2N=C(SC21)NC(C)=O',NC=1SC2=C(N1)CCCC2=O; CC(=O)OC(C)=O,[]
'COC(=O)C@H1N(CC@@H(C1)N(C)C)C(=O)OCC1=CC=CC=C1',C(#N)[BH3-].[Na+]; COC(=O)[C@H]1N(C[C@@H](C1)N)C(=O)OCC1=CC=CC=C1; CC(O)=O; Cl; CCN(CC)CC,[]
'COCOC=1C=CC(=NC1)C(C(F)(F)F)(C)C',FC(C(C)(C1=NC=C(C=C1)OCOC)OS(=O)(=O)C)(F)F; C[Al](C)C; O,[]
'O=C1CCCC=2N=C(SC21)NC(C)=O',NC=1SC2=C(N1)CCCC2=O; CC(=O)OC(C)=O,[]
'O1CCN(CC1)CC@H1C@H(NCC1)C(=O)N',O1CCN(CC1)C[C@H]1[C@H](N(CC1)[C@@H](C)C1=CC=CC=C1)C(=O)N; O,[]
'CC@H1C@H(N(CC1)C@@H(C)C1=CC=CC=C1)C(=O)N',C[Al](C)C; [Cl-].[NH4+]; C; COC(=O)[C@H]1N(CC[C@H]1C)[C@@H](C)C1=CC=CC=C1; Cl,[]
'FC@H1CC@H(NC1)C(=O)N',C(C)(C)(C)OC(=O)N1[C@@H](C[C@@H](C1)F)C(N)=O; Cl,[]
'CC@@1(NCCC1)C(=O)N',C(CCC)OC(=O)[C@]1(NCCC1)C; N,[]
'NCC@H1C@H(N(CC1)C@@H(C)C1=CC=CC=C1)C(=O)N',N(=[N+]=[N-])C[C@H]1[C@H](N(CC1)[C@@H](C)C1=CC=CC=C1)C(=O)N; C1(=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,[]
'CN(C@@H1CC@H(NC1)C(=O)N)C',COC(=O)[C@H]1NC[C@@H](C1)N(C)C; N,[]
